sequence_sha256	joint_predicted_plddt_cutoff	accepted_chain_model_rows	excluded_chain_model_rows	accepted_entries	status	source_tier
7853bc1aad7c359d8c4309a1340c0742d4c26c3dbb95f6c3720b0c4dfee7cdaa	70	39	3	39	included	predictor-controls-summary-v1
7853bc1aad7c359d8c4309a1340c0742d4c26c3dbb95f6c3720b0c4dfee7cdaa	90	0	42	0	no_eligible_chain_model	predictor-controls-summary-v1
79e70f93481438ecc0fe7221fe714ee55f7860bd2a27b6e4cba51e50ab0d7be8	0	0	7	0	no_eligible_chain_model	predictor-controls-summary-v1
79e70f93481438ecc0fe7221fe714ee55f7860bd2a27b6e4cba51e50ab0d7be8	70	0	7	0	no_eligible_chain_model	predictor-controls-summary-v1
79e70f93481438ecc0fe7221fe714ee55f7860bd2a27b6e4cba51e50ab0d7be8	90	0	7	0	no_eligible_chain_model	predictor-controls-summary-v1
7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	0	3	0	3	included	predictor-controls-summary-v1
7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	70	3	0	3	included	predictor-controls-summary-v1
7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	90	0	3	0	no_eligible_chain_model	predictor-controls-summary-v1
8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	0	631	0	324	included	predictor-controls-summary-v1
8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	70	631	0	324	included	predictor-controls-summary-v1
8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	90	631	0	324	included	predictor-controls-summary-v1
83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	0	157	1	152	included	predictor-controls-summary-v1
83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	70	157	1	152	included	predictor-controls-summary-v1
83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	90	0	158	0	no_eligible_chain_model	predictor-controls-summary-v1
84d2c25c65d615286c613fa6cb43c3a6ded04bf3ea656def6fecf3a43dcb69c6	0	42	1	42	included	predictor-controls-summary-v1
84d2c25c65d615286c613fa6cb43c3a6ded04bf3ea656def6fecf3a43dcb69c6	70	42	1	42	included	predictor-controls-summary-v1
84d2c25c65d615286c613fa6cb43c3a6ded04bf3ea656def6fecf3a43dcb69c6	90	0	43	0	no_eligible_chain_model	predictor-controls-summary-v1
85dcd5871dfdeb57dcae53d0446978c992ec78de47a5bc1c3e5476b17ce02de9	0	17	0	17	included	predictor-controls-summary-v1
85dcd5871dfdeb57dcae53d0446978c992ec78de47a5bc1c3e5476b17ce02de9	70	0	17	0	no_eligible_chain_model	predictor-controls-summary-v1
85dcd5871dfdeb57dcae53d0446978c992ec78de47a5bc1c3e5476b17ce02de9	90	0	17	0	no_eligible_chain_model	predictor-controls-summary-v1
85fc271b1d6b5812d61cfbb942b4fdd1dd7974c91c1550dcda620f88377454a0	0	49	0	49	included	predictor-controls-summary-v1
85fc271b1d6b5812d61cfbb942b4fdd1dd7974c91c1550dcda620f88377454a0	70	49	0	49	included	predictor-controls-summary-v1
85fc271b1d6b5812d61cfbb942b4fdd1dd7974c91c1550dcda620f88377454a0	90	49	0	49	included	predictor-controls-summary-v1
9290d7c5d79158df0e0dcb67b0c05aa7e2a325310393e00f30c9a05ae73b9018	0	5	0	4	included	predictor-controls-summary-v1
9290d7c5d79158df0e0dcb67b0c05aa7e2a325310393e00f30c9a05ae73b9018	70	5	0	4	included	predictor-controls-summary-v1
9290d7c5d79158df0e0dcb67b0c05aa7e2a325310393e00f30c9a05ae73b9018	90	5	0	4	included	predictor-controls-summary-v1
96d19daa18e83769d4a23f65b801e1dec1a3c4176e1b4edb640a3ceeb7ed20f1	0	6	1	6	included	predictor-controls-summary-v1
96d19daa18e83769d4a23f65b801e1dec1a3c4176e1b4edb640a3ceeb7ed20f1	70	5	2	5	included	predictor-controls-summary-v1
96d19daa18e83769d4a23f65b801e1dec1a3c4176e1b4edb640a3ceeb7ed20f1	90	0	7	0	no_eligible_chain_model	predictor-controls-summary-v1
9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	0	14	7	14	included	predictor-controls-summary-v1
9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	70	14	7	14	included	predictor-controls-summary-v1
9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	90	10	11	10	included	predictor-controls-summary-v1
9e04036772422792dba04f1ee5510efa70bab5493b0a62a87dd0300b26fc7f86	0	44	0	44	included	predictor-controls-summary-v1
9e04036772422792dba04f1ee5510efa70bab5493b0a62a87dd0300b26fc7f86	70	44	0	44	included	predictor-controls-summary-v1
9e04036772422792dba04f1ee5510efa70bab5493b0a62a87dd0300b26fc7f86	90	44	0	44	included	predictor-controls-summary-v1
9fb69cb67e3079fd58481686b3e32f9badf14994da061a3c837e6c9b88b2ab82	0	33	0	29	included	predictor-controls-summary-v1
9fb69cb67e3079fd58481686b3e32f9badf14994da061a3c837e6c9b88b2ab82	70	33	0	29	included	predictor-controls-summary-v1
9fb69cb67e3079fd58481686b3e32f9badf14994da061a3c837e6c9b88b2ab82	90	33	0	29	included	predictor-controls-summary-v1
a1522f5f794bdfcd1daf2f6cc27f18008a39cec9d87ee10935e6e31b5feae501	0	76	0	38	included	predictor-controls-summary-v1
a1522f5f794bdfcd1daf2f6cc27f18008a39cec9d87ee10935e6e31b5feae501	70	76	0	38	included	predictor-controls-summary-v1
a1522f5f794bdfcd1daf2f6cc27f18008a39cec9d87ee10935e6e31b5feae501	90	75	1	38	included	predictor-controls-summary-v1
a6b32a264dc4356f9e3046c543340e02100714d88b1b4a3842cb39bcaf4bff97	0	38	0	10	included	predictor-controls-summary-v1
a6b32a264dc4356f9e3046c543340e02100714d88b1b4a3842cb39bcaf4bff97	70	38	0	10	included	predictor-controls-summary-v1
a6b32a264dc4356f9e3046c543340e02100714d88b1b4a3842cb39bcaf4bff97	90	38	0	10	included	predictor-controls-summary-v1
a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	0	62	0	62	included	predictor-controls-summary-v1
a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	70	62	0	62	included	predictor-controls-summary-v1
a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	90	62	0	62	included	predictor-controls-summary-v1
b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	0	341	2	331	included	predictor-controls-summary-v1
b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	70	341	2	331	included	predictor-controls-summary-v1
b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	90	0	343	0	no_eligible_chain_model	predictor-controls-summary-v1
c23ebf76afa06aa1be095f20e72e07bc9da9e0a2d92d4a1370bc697d290b748b	0	12	2	12	included	predictor-controls-summary-v1
c23ebf76afa06aa1be095f20e72e07bc9da9e0a2d92d4a1370bc697d290b748b	70	0	14	0	no_eligible_chain_model	predictor-controls-summary-v1
c23ebf76afa06aa1be095f20e72e07bc9da9e0a2d92d4a1370bc697d290b748b	90	0	14	0	no_eligible_chain_model	predictor-controls-summary-v1
c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be	0	25	0	25	included	predictor-controls-summary-v1
c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be	70	25	0	25	included	predictor-controls-summary-v1
c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be	90	0	25	0	no_eligible_chain_model	predictor-controls-summary-v1
ccce9788f3915b66b10c95984805423f74edfc35c20dbe56dbd8840477ad22bc	0	5	0	5	included	predictor-controls-summary-v1
ccce9788f3915b66b10c95984805423f74edfc35c20dbe56dbd8840477ad22bc	70	5	0	5	included	predictor-controls-summary-v1
ccce9788f3915b66b10c95984805423f74edfc35c20dbe56dbd8840477ad22bc	90	5	0	5	included	predictor-controls-summary-v1
cd4149ad98b80658ca48d1b1c160820504480c2e79c00295f239251b3c5dee20	0	10	0	10	included	predictor-controls-summary-v1
cd4149ad98b80658ca48d1b1c160820504480c2e79c00295f239251b3c5dee20	70	10	0	10	included	predictor-controls-summary-v1
cd4149ad98b80658ca48d1b1c160820504480c2e79c00295f239251b3c5dee20	90	0	10	0	no_eligible_chain_model	predictor-controls-summary-v1
ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	0	343	0	333	included	predictor-controls-summary-v1
ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	70	343	0	333	included	predictor-controls-summary-v1
ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	90	0	343	0	no_eligible_chain_model	predictor-controls-summary-v1
cf91b4c59edaf90cca66b436e170d980254b8459f21b45789691b88e2ac340a6	0	6	0	6	included	predictor-controls-summary-v1
cf91b4c59edaf90cca66b436e170d980254b8459f21b45789691b88e2ac340a6	70	6	0	6	included	predictor-controls-summary-v1
cf91b4c59edaf90cca66b436e170d980254b8459f21b45789691b88e2ac340a6	90	6	0	6	included	predictor-controls-summary-v1
d67c4c11fd7bf43a5857862aa91cdb933dd70b6ddbe5bbd1703a9f039481ff49	0	2	0	2	included	predictor-controls-summary-v1
d67c4c11fd7bf43a5857862aa91cdb933dd70b6ddbe5bbd1703a9f039481ff49	70	2	0	2	included	predictor-controls-summary-v1
d67c4c11fd7bf43a5857862aa91cdb933dd70b6ddbe5bbd1703a9f039481ff49	90	0	2	0	no_eligible_chain_model	predictor-controls-summary-v1
d93f7257bb249fb169016330c2e75b78069fe0b18d330a7b0aa84aac019fa3e3	0	6	0	6	included	predictor-controls-summary-v1
d93f7257bb249fb169016330c2e75b78069fe0b18d330a7b0aa84aac019fa3e3	70	6	0	6	included	predictor-controls-summary-v1
d93f7257bb249fb169016330c2e75b78069fe0b18d330a7b0aa84aac019fa3e3	90	6	0	6	included	predictor-controls-summary-v1
db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	0	7	0	7	included	predictor-controls-summary-v1
db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	70	7	0	7	included	predictor-controls-summary-v1
db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	90	7	0	7	included	predictor-controls-summary-v1
e3bbd87e97b3dc0432d0814633b368f3604cb00d07d43c01354e6d8a64f9ea67	0	2	0	2	included	predictor-controls-summary-v1
e3bbd87e97b3dc0432d0814633b368f3604cb00d07d43c01354e6d8a64f9ea67	70	2	0	2	included	predictor-controls-summary-v1
e3bbd87e97b3dc0432d0814633b368f3604cb00d07d43c01354e6d8a64f9ea67	90	0	2	0	no_eligible_chain_model	predictor-controls-summary-v1
e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	0	266	0	262	included	predictor-controls-summary-v1
e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	70	266	0	262	included	predictor-controls-summary-v1
e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	90	0	266	0	no_eligible_chain_model	predictor-controls-summary-v1
f9d25f45a2a3eee589a6c556661ee99fe05c787d87bf2ba89aea44dae9063aac	0	28	0	22	included	predictor-controls-summary-v1
f9d25f45a2a3eee589a6c556661ee99fe05c787d87bf2ba89aea44dae9063aac	70	28	0	22	included	predictor-controls-summary-v1
f9d25f45a2a3eee589a6c556661ee99fe05c787d87bf2ba89aea44dae9063aac	90	0	28	0	no_eligible_chain_model	predictor-controls-summary-v1
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	0	30	1	30	included	predictor-controls-summary-513-768-v1
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	70	30	1	30	included	predictor-controls-summary-513-768-v1
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	90	0	31	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	0	4	0	4	included	predictor-controls-summary-513-768-v1
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	70	4	0	4	included	predictor-controls-summary-513-768-v1
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	90	0	4	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	0	1	0	1	included	predictor-controls-summary-513-768-v1
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	70	1	0	1	included	predictor-controls-summary-513-768-v1
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	90	0	1	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	0	23	0	21	included	predictor-controls-summary-513-768-v1
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	70	23	0	21	included	predictor-controls-summary-513-768-v1
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	90	0	23	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	0	5	36	5	included	predictor-controls-summary-513-768-v1
5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	70	0	41	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	90	0	41	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	0	38	0	38	included	predictor-controls-summary-513-768-v1
6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	70	36	2	36	included	predictor-controls-summary-513-768-v1
6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	90	0	38	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
6e7fd9e10994e26e9895de924a49c0063dfda2ba87b7f91ecbfd6f3df4dfa650	0	12	8	12	included	predictor-controls-summary-513-768-v1
6e7fd9e10994e26e9895de924a49c0063dfda2ba87b7f91ecbfd6f3df4dfa650	70	0	20	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
6e7fd9e10994e26e9895de924a49c0063dfda2ba87b7f91ecbfd6f3df4dfa650	90	0	20	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
89d2fdfca2ef088a14904ec0666b8ad3b69f7e91ab028ebe763777e0acf6c69c	0	3	0	3	included	predictor-controls-summary-513-768-v1
89d2fdfca2ef088a14904ec0666b8ad3b69f7e91ab028ebe763777e0acf6c69c	70	3	0	3	included	predictor-controls-summary-513-768-v1
89d2fdfca2ef088a14904ec0666b8ad3b69f7e91ab028ebe763777e0acf6c69c	90	0	3	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
8ffdab9ad3bb166a8856b225168506babb0f843c04a03ac7585f9214c3993f79	0	6	0	6	included	predictor-controls-summary-513-768-v1
8ffdab9ad3bb166a8856b225168506babb0f843c04a03ac7585f9214c3993f79	70	6	0	6	included	predictor-controls-summary-513-768-v1
8ffdab9ad3bb166a8856b225168506babb0f843c04a03ac7585f9214c3993f79	90	0	6	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
9b034068144dc1c8f367dcc1d0940877c694565a6c15b2ee590634a8d512edac	0	39	6	39	included	predictor-controls-summary-513-768-v1
9b034068144dc1c8f367dcc1d0940877c694565a6c15b2ee590634a8d512edac	70	13	32	13	included	predictor-controls-summary-513-768-v1
9b034068144dc1c8f367dcc1d0940877c694565a6c15b2ee590634a8d512edac	90	0	45	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	0	5	1	5	included	predictor-controls-summary-513-768-v1
bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	70	0	6	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	90	0	6	0	no_eligible_chain_model	predictor-controls-summary-513-768-v1
c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	0	35	0	35	included	predictor-controls-summary-513-768-v1
c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	70	35	0	35	included	predictor-controls-summary-513-768-v1
c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	90	35	0	35	included	predictor-controls-summary-513-768-v1
018d9a0f9f044eb2e31ac355004ba9c03445119103a939258066dab1584e6f63	0	33	0	8	included	predictor-controls-summary-769-1152-v1
018d9a0f9f044eb2e31ac355004ba9c03445119103a939258066dab1584e6f63	70	33	0	8	included	predictor-controls-summary-769-1152-v1
018d9a0f9f044eb2e31ac355004ba9c03445119103a939258066dab1584e6f63	90	0	33	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
03b7797a0460645fc3278608ce831cc02c9437647883cfcf335a74b1b3aeb9c3	0	79	3	59	included	predictor-controls-summary-769-1152-v1
03b7797a0460645fc3278608ce831cc02c9437647883cfcf335a74b1b3aeb9c3	70	79	3	59	included	predictor-controls-summary-769-1152-v1
03b7797a0460645fc3278608ce831cc02c9437647883cfcf335a74b1b3aeb9c3	90	0	82	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
0645362bbfe056a56877c97cff3efb50b0c4a962d7c8500b0d40b60493489a68	0	6	1	6	included	predictor-controls-summary-769-1152-v1
0645362bbfe056a56877c97cff3efb50b0c4a962d7c8500b0d40b60493489a68	70	2	5	2	included	predictor-controls-summary-769-1152-v1
0645362bbfe056a56877c97cff3efb50b0c4a962d7c8500b0d40b60493489a68	90	0	7	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
0b38fefaef2eca7f23bb979bc9da1dec4e9a6ffe79ea3e53edd734b02e70527b	0	78	3	58	included	predictor-controls-summary-769-1152-v1
0b38fefaef2eca7f23bb979bc9da1dec4e9a6ffe79ea3e53edd734b02e70527b	70	78	3	58	included	predictor-controls-summary-769-1152-v1
0b38fefaef2eca7f23bb979bc9da1dec4e9a6ffe79ea3e53edd734b02e70527b	90	0	81	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
1c163f85ae86dcca2b942339fb9b5aae7f2fdbc3682ba022ba3571dcc1166dd5	0	33	0	8	included	predictor-controls-summary-769-1152-v1
1c163f85ae86dcca2b942339fb9b5aae7f2fdbc3682ba022ba3571dcc1166dd5	70	33	0	8	included	predictor-controls-summary-769-1152-v1
1c163f85ae86dcca2b942339fb9b5aae7f2fdbc3682ba022ba3571dcc1166dd5	90	0	33	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
21f58f1ca92c2c7e6a0ee5af2b0e31e3c2a5dfaddeaedfd5901b5d19d49a14e2	0	1	0	1	included	predictor-controls-summary-769-1152-v1
21f58f1ca92c2c7e6a0ee5af2b0e31e3c2a5dfaddeaedfd5901b5d19d49a14e2	70	1	0	1	included	predictor-controls-summary-769-1152-v1
21f58f1ca92c2c7e6a0ee5af2b0e31e3c2a5dfaddeaedfd5901b5d19d49a14e2	90	1	0	1	included	predictor-controls-summary-769-1152-v1
2204d94499d8f398bca51469cb01266388ac536be512a882629aae7bd265fe1c	0	34	1	34	included	predictor-controls-summary-769-1152-v1
2204d94499d8f398bca51469cb01266388ac536be512a882629aae7bd265fe1c	70	34	1	34	included	predictor-controls-summary-769-1152-v1
2204d94499d8f398bca51469cb01266388ac536be512a882629aae7bd265fe1c	90	0	35	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
69e276995e1a4533cc3887bc5581aaef26520c25c4281f816a742c03163e46a0	0	0	2	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
69e276995e1a4533cc3887bc5581aaef26520c25c4281f816a742c03163e46a0	70	0	2	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
69e276995e1a4533cc3887bc5581aaef26520c25c4281f816a742c03163e46a0	90	0	2	0	no_eligible_chain_model	predictor-controls-summary-769-1152-v1
87e11eed16e5eef1a5be3c5be754e77a0f2e76ff41d41913f2e98a6b111b0f5d	0	9	1	9	included	predictor-controls-summary-769-1152-v1
